scope,bin_left_minutes,bin_right_minutes,bin_centre_minutes,events,at_risk,hazard
Copilot,0.6155082591201139,0.744265416593022,0.6768319665105049,11,524,0.02099236641221374
Copilot,0.744265416593022,0.8999570714587064,0.8184173291817874,7,513,0.01364522417153996
Copilot,0.8999570714587064,1.0882176067995535,0.9896207003317626,14,506,0.02766798418972332
Copilot,1.0882176067995535,1.3158600530013003,1.1966378223005525,23,492,0.046747967479674794
Copilot,1.3158600530013003,1.5911226470382949,1.4469605145488178,18,469,0.03837953091684435
Copilot,1.5911226470382949,1.923966969088961,1.7496477978927854,25,451,0.05543237250554324
Copilot,1.923966969088961,2.3264384458580776,2.1156537347707913,29,426,0.06807511737089202
Copilot,2.3264384458580776,2.8131022669944246,2.5582238498744285,27,397,0.06801007556675064
Copilot,2.8131022669944246,3.4015704901448007,3.0933744773576435,26,370,0.07027027027027027
Copilot,3.4015704901448007,4.113139410244865,3.7404723818978427,35,344,0.10174418604651163
Copilot,4.113139410244865,4.973560259040617,4.5229356297307195,19,309,0.061488673139158574
Copilot,4.973560259040617,6.01397112597152,5.4690810737407896,16,290,0.05517241379310345
Copilot,6.01397112597152,7.272023826046054,6.613149122560137,21,274,0.07664233576642336
Copilot,7.272023826046054,8.79324649534939,7.996542879424628,15,253,0.05928853754940711
Copilot,8.79324649534939,10.632691225657796,9.669326494443531,17,238,0.07142857142857142
Copilot,10.632691225657796,12.856926365020357,11.692036954708977,10,221,0.04524886877828054
Copilot,12.856926365020357,15.546445584413084,14.137874879789921,14,211,0.06635071090047394
Copilot,15.546445584413084,18.798580893072916,17.095353606121915,9,197,0.04568527918781726
Copilot,18.798580893072916,22.731025022704394,20.671502428990813,12,188,0.06382978723404255
Copilot,22.731025022704394,27.486090653428622,24.99573992542344,10,176,0.056818181818181816
Copilot,27.486090653428622,33.235860620183075,30.224557531104907,15,166,0.09036144578313253
Copilot,33.235860620183075,40.18841548230301,36.54718286702588,4,151,0.026490066225165563
Copilot,40.18841548230301,48.595363828111864,44.19242776808985,8,147,0.05442176870748299
Copilot,48.595363828111864,58.76094783150769,53.43696883952923,14,139,0.10071942446043165
Copilot,58.76094783150769,71.05305358491286,64.61536020925973,10,125,0.08
