bin_index,bin_left_log10_minutes,bin_right_log10_minutes,bin_left_minutes,bin_right_minutes,bin_centre_minutes,count,share,cumulative_share,density_per_minute,kde_density_per_log10_minute
108,0.9216508963997712,0.9466490644255436,8.349315963721601,8.844006730709454,8.593102267515134,61,0.010985053124437242,0.5051323608860075,0.022205898831151975,0.3622422129093844
109,0.9466490644255436,0.9716472324513161,8.844006730709454,9.368007558067083,9.102237191860159,45,0.008103727714748784,0.5132360886007563,0.015465104808351799,0.3588371639267708
110,0.9716472324513161,0.9966454004770886,9.368007558067083,9.9230550450929,9.641537982165811,43,0.0077435620385377275,0.5209796506392941,0.013951170340453319,0.35540010663793514
111,0.9966454004770886,1.0216435685028606,9.9230550450929,10.510988683303369,10.212791943575853,44,0.007923644876643255,0.5289032955159373,0.013477107553772493,0.3519444200065316
112,1.0216435685028606,1.0466417365286331,10.510988683303369,11.13375695272053,10.817892277735792,51,0.009184224743381956,0.5380875202593193,0.014747419215782017,0.3484809041693011
113,1.0466417365286331,1.0716399045544056,11.13375695272053,11.793423779359898,11.458844357081908,54,0.009724473257698542,0.5478119935170178,0.014741492015354584,0.34500551704811666
114,1.0716399045544056,1.096638072580178,11.793423779359898,12.492175375319844,12.137772370877252,43,0.0077435620385377275,0.5555555555555556,0.011081995494979315,0.3415134573841916
115,1.096638072580178,1.1216362406059501,12.492175375319844,13.232327484141111,12.856926365020357,42,0.007563479200432199,0.5631190347559878,0.010218817335368346,0.3379951455639294
116,1.1216362406059501,1.1466344086317226,13.232327484141111,14.01633305544859,13.618689698957382,58,0.010444804610120656,0.5735638393661084,0.013322360187698614,0.33444314403427755
117,1.1466344086317226,1.171632576657495,14.01633305544859,14.846790374309764,14.42558694441075,45,0.008103727714748784,0.5816675670808572,0.009758150757057103,0.3308462635803138
118,1.171632576657495,1.1966307446832671,14.846790374309764,15.726451672251743,15.280292252101557,55,0.00990455609580407,0.5915721231766613,0.011259511040188285,0.32720154313237254
119,1.1966307446832671,1.2216289127090396,15.726451672251743,16.658232248474647,16.18563821419415,36,0.006482982171799027,0.5980551053484603,0.006957627511488439,0.3235039739036642
120,1.2216289127090396,1.246627080734812,16.658232248474647,17.645220131489978,17.144625251833894,39,0.007023230686115613,0.605078336034576,0.00711582260225835,0.3197497806291739
121,1.246627080734812,1.2716252487605846,17.645220131489978,18.690686313204036,18.160431558889563,40,0.007203313524221142,0.612281649558797,0.006890049291131729,0.3159395121827722
122,1.2716252487605846,1.2966234167863566,18.690686313204036,19.79809558936308,19.236423634855147,52,0.009364307581487484,0.6216459571402845,0.008456049432750651,0.3120738441930826
