relative_path,is_parquet,remote_bytes,local_bytes,bytes_match,hub_blob_oid,hub_lfs_sha256,local_sha256,sha256_match
train-00170.parquet,True,6001672,6001672,True,17ffac07b9f5edfdc4264942e1183a1dd6b8d7c9,32462eb818e58018a30894cc631f4dd6a943b7b3514385b253fd4dec3c4eeedf,32462eb818e58018a30894cc631f4dd6a943b7b3514385b253fd4dec3c4eeedf,True
train-00171.parquet,True,6087616,6087616,True,48c977698fc69599c77eca9bfcf711e1d5d2f698,c71c229c1e2a195e8aee02d07252d3a49df97b8dd2fedfb5bafc2602bdc19e5b,c71c229c1e2a195e8aee02d07252d3a49df97b8dd2fedfb5bafc2602bdc19e5b,True
train-00172.parquet,True,6319969,6319969,True,9261eb3cf775769be5b02dce3b618faaf4a4b7b3,80f7663bffd540c7bbfa579d4cb99299165719418803c87b7a6ab2357ee3bd8e,80f7663bffd540c7bbfa579d4cb99299165719418803c87b7a6ab2357ee3bd8e,True
train-00173.parquet,True,6155614,6155614,True,44ddccf1eab223606f3a15ddcb1b839756937f81,c8daccc96c6f6294d2fe4449ca26cd07e400aefcb4d8d1bb76d84878a9d491fa,c8daccc96c6f6294d2fe4449ca26cd07e400aefcb4d8d1bb76d84878a9d491fa,True
train-00174.parquet,True,5398175,5398175,True,1ee4f6cd5fbaa6788e7c9e7c8f310f1514586c54,4f876ad6f261792e3e2669a76dacc5fa12ce144324c1511c609b37bfab887565,4f876ad6f261792e3e2669a76dacc5fa12ce144324c1511c609b37bfab887565,True
train-00175.parquet,True,5044615,5044615,True,87e38ac927992e7eeb6bab4df0833271f1a77acf,2ef4ecbe11c5813b31971313db645c6412e240809dc1de7e030d8f4d89c8e5c5,2ef4ecbe11c5813b31971313db645c6412e240809dc1de7e030d8f4d89c8e5c5,True
train-00176.parquet,True,5817181,5817181,True,922ed1f9f40b2e3826cdb836311bafbe605bf7a4,6373994efde8720e1885fbfd1f2d7620b5747b5c0211bc997230f97d20b2f8ae,6373994efde8720e1885fbfd1f2d7620b5747b5c0211bc997230f97d20b2f8ae,True
train-00177.parquet,True,6385726,6385726,True,557d7769f76bf74a21ef3d3582414cdab644486d,c7257d5ac0ee249f1d91e901450f9b60870741b0a5275ccea79adc9ad38185f7,c7257d5ac0ee249f1d91e901450f9b60870741b0a5275ccea79adc9ad38185f7,True
train-00178.parquet,True,6940212,6940212,True,308506ad5fba978fea613bba9b0c6b8cf1fe3d75,1330f84abec38ea0062782a9ebb4a0452e45190ee087a470ad2d1354a92e5aeb,1330f84abec38ea0062782a9ebb4a0452e45190ee087a470ad2d1354a92e5aeb,True
train-00179.parquet,True,2597170,2597170,True,27fccb2d6a2bd616db29890d3079531a486d1285,98f3fca2d8e7b7c15b785b95d0a349f7fa8ee4acf9aeb5a7919390cbef1d3ccc,98f3fca2d8e7b7c15b785b95d0a349f7fa8ee4acf9aeb5a7919390cbef1d3ccc,True
train-00180.parquet,True,6906738,6906738,True,9706fc45742287b6b1028b27b0a7c178707a22ee,e610400cea3ba18ef064f4ab69bfaa3638219a4c1def7ce6a89078e87f1c6fb2,e610400cea3ba18ef064f4ab69bfaa3638219a4c1def7ce6a89078e87f1c6fb2,True
train-00181.parquet,True,7838730,7838730,True,51181d2889d83a94ba30679e510400aa305f5d34,b76abd99c86459d2057c0d6651af95b9bd308d6009a1ebfd03d96afcd8603e08,b76abd99c86459d2057c0d6651af95b9bd308d6009a1ebfd03d96afcd8603e08,True
