omitted_product_pair,first_owner_state,metric,prs,repositories,estimate,full_estimate,change_from_full
OpenAI_Codex -> Copilot,user_minus_mapped,exact_owner_persistence,1578,440,-0.14937282970732052,-0.13516945045033657,-0.01420337925698395
OpenAI_Codex -> Copilot,user_minus_mapped,layer_persistence,1578,440,-0.049000779533697136,0.0072133925071754534,-0.05621417204087259
OpenAI_Codex -> Copilot,user_minus_mapped,cross_layer_handoff,1578,440,0.06912337892424353,-0.010598819051954145,0.07972219797619767
OpenAI_Codex -> Cursor,user_account,exact_owner_persistence,1417,469,0.31263232180663375,0.30962059620596205,0.0030117256006716997
OpenAI_Codex -> Cursor,user_account,layer_persistence,1417,469,0.5426958362738179,0.540650406504065,0.00204542976975286
OpenAI_Codex -> Cursor,user_account,cross_layer_handoff,1417,469,0.31545518701482006,0.31910569105691056,-0.0036505040420904966
OpenAI_Codex -> Cursor,mapped_product,exact_owner_persistence,579,224,0.45595854922279794,0.4447900466562986,0.011168502566499316
OpenAI_Codex -> Cursor,mapped_product,layer_persistence,579,224,0.533678756476684,0.5334370139968896,0.00024174247979436014
OpenAI_Codex -> Cursor,mapped_product,cross_layer_handoff,579,224,0.3316062176165803,0.3297045101088647,0.001901707507715622
OpenAI_Codex -> Cursor,user_minus_mapped,exact_owner_persistence,1996,578,-0.1433262274161642,-0.13516945045033657,-0.008156776965827617
OpenAI_Codex -> Cursor,user_minus_mapped,layer_persistence,1996,578,0.009017079797133953,0.0072133925071754534,0.0018036872899585
OpenAI_Codex -> Cursor,user_minus_mapped,cross_layer_handoff,1996,578,-0.016151030601760263,-0.010598819051954145,-0.005552211549806119
OpenAI_Codex -> Devin,user_account,exact_owner_persistence,1419,481,0.3093727977448908,0.30962059620596205,-0.000247798461071258
OpenAI_Codex -> Devin,user_account,layer_persistence,1419,481,0.5468639887244539,0.540650406504065,0.006213582220388814
OpenAI_Codex -> Devin,user_account,cross_layer_handoff,1419,481,0.31360112755461594,0.31910569105691056,-0.005504563502294613
OpenAI_Codex -> Devin,mapped_product,exact_owner_persistence,596,240,0.4446308724832215,0.4447900466562986,-0.00015917417307714787
OpenAI_Codex -> Devin,mapped_product,layer_persistence,596,240,0.5218120805369127,0.5334370139968896,-0.011624933459976838
OpenAI_Codex -> Devin,mapped_product,cross_layer_handoff,596,240,0.337248322147651,0.3297045101088647,0.007543812038786291
OpenAI_Codex -> Devin,user_minus_mapped,exact_owner_persistence,2015,598,-0.13525807473833068,-0.13516945045033657,-8.862428799411015e-05
OpenAI_Codex -> Devin,user_minus_mapped,layer_persistence,2015,598,0.025051908187541105,0.0072133925071754534,0.017838515680365652
OpenAI_Codex -> Devin,user_minus_mapped,cross_layer_handoff,2015,598,-0.023647194593035048,-0.010598819051954145,-0.013048375541080903
