exclusion_unit,excluded_group,n_prs,automation_then_user_vs_automation_only,user_first_vs_automation_only
repository,1158200188,1732,0.1326398081153748,0.07059764740295599
repository,1158845111,1726,0.13306877274882029,0.0713525098515852
repository,1160886023,1732,0.13263776492739499,0.0707092325136457
repository,1161409602,1732,0.1329711090007786,0.06966775689211499
repository,116457726,1732,0.1328449238645279,0.07090437140010639
repository,1165733654,1732,0.1328348703560457,0.07199188691369561
repository,1175489176,1732,0.1326296331756156,0.07176506510079199
repository,1176011916,1732,0.1326296331756163,0.07176506510079189
repository,117813847,1732,0.1328813836654622,0.0699465224136605
repository,117851913,1732,0.13275371188542673,0.07086478981384291
repository,11863336,1731,0.13102095269626252,0.06918128960383631
repository,118905883,1730,0.13269789047191832,0.07188066943531608
repository,118933991,1732,0.1327439517001005,0.0718078227916248
repository,121770401,1732,0.13276786075493668,0.07211376027775761
repository,1223855,1731,0.1345492585170967,0.0742852713337711
repository,122837644,1732,0.1325974955879135,0.0705830832876532
repository,124290023,1731,0.13299370620540213,0.06992385069614492
repository,124952577,1723,0.1339351777249686,0.06756712037599641
repository,127246132,1723,0.1352859874913831,0.0711550502766828
repository,128665842,1732,0.1328400506268097,0.0696315495908524
repository,12888993,1727,0.13582215521162222,0.0721253112487494
repository,130174051,1732,0.13272252663451123,0.07068704424028831
repository,130227442,1732,0.1328794509866174,0.0709647832931551
repository,130688011,1732,0.1329612616517421,0.07202160942319409
repository,130877729,1732,0.1325471065769503,0.0718102717992462
repository,133100880,1722,0.13261173667283588,0.0644378477883077
repository,133999378,1732,0.1326638579395979,0.0718083214402808
repository,134182879,1732,0.1328536595973203,0.0708589164091554
repository,135059452,1732,0.1324879599208028,0.0705164468176236
repository,13678015,1732,0.1327102225839974,0.0706606309727738
repository,13683952,1731,0.13202802601797128,0.07010919675104549
repository,137811219,1732,0.1323578755106441,0.07012617187496999
repository,139156354,1730,0.1326758084708014,0.0720325220832562
repository,139199684,1732,0.1325975172345776,0.06948811414003139
repository,14052034,1732,0.132881383665463,0.0699465224136605
repository,141427485,1726,0.1323926547883093,0.06774931059858111
repository,1431547,1732,0.13272268988316538,0.0706606939592788
repository,144406906,1732,0.1327439517001002,0.0718078227916247
repository,1459486,1731,0.1388967271477402,0.07134331115386951
repository,146185516,1732,0.1329062299472665,0.07075387711161099
repository,148657224,1732,0.1326829622248884,0.0706954004361219
repository,151148482,1731,0.1317547455403436,0.06961826244485139
repository,151331938,1732,0.13264849158169578,0.0710591534015327
repository,15231212,1727,0.13019244410083108,0.07269947400101699
repository,152362178,1731,0.13266515380729998,0.06968058275776902
repository,15402300,1732,0.132541567507647,0.0721958062888436
repository,15763403,1731,0.13281490060254922,0.0704713983483655
repository,158975124,1732,0.1298040985174035,0.0707347888132785
repository,159907380,1732,0.1326601507541682,0.07071788476025521
repository,161133770,1730,0.1329845754052438,0.07093296120370932
repository,161977394,1732,0.1328345660573839,0.07102649626705049
repository,1644196,1732,0.13270967136574258,0.07016871055317349
repository,1660282,1732,0.13127940925267262,0.06926790820363592
repository,166371135,1732,0.1328389807258093,0.07083239793453722
repository,169072354,1732,0.1314720781972995,0.0695003352657957
repository,169435703,1732,0.1325921334074503,0.0705985863540021
repository,17165658,1732,0.1328585768207282,0.0724744337191887
repository,172514655,1732,0.1328536595973203,0.0708589164091554
repository,173787329,1732,0.13247891234535242,0.0718434863111926
